gene name	list of shared diseases
CHIC2	Hypertensive Retinopathy;Polyarteritis Nodosa;Crohn Disease;Cholangitis;Giant Cell Arteritis;Emphysema;Melanoma;Nail Diseases;
MTHFD1L	"Diabetes Mellitus, Type 3;Pulmonary Fibrosis;Anisometropia;Scoliosis;"
PRKAG2	"Chronic Disease;Torsion dystonia with onset in infancy;Myopia;""Cardiomyopathy, Dilated"";Hypotension;Cardiomyopathies;Cellulitis;""Foot Deformities, Acquired"";Spondylosis;Accessory pancreas;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Shock;Sarcoidosis;Hallux Valgus;Tension-Type Headache;Intervertebral disc disease;Intervertebral Disc Degeneration;"
LOC391642	"Torsion dystonia with onset in infancy;Heart Diseases;Retinal Detachment;Basal Ganglia Cerebrovascular Disease;Heart Failure;Intervertebral disc disease;""Heart Failure, Systolic"";Nail Diseases;"
LOXL1	Endometrial Hyperplasia;Esophagitis;Barrett Esophagus;Intervertebral disc disease;
BAG6	"Celiac Disease;""Diabetes Mellitus, Type 4"";""Diabetes Mellitus, Type 2"";""Lupus Erythematosus, Discoid"";""Diabetes Mellitus, Type 6"";Prostatitis;Skin Neoplasms;Thyrotoxicosis;""Lupus Erythematosus, Systemic"";Rosacea;Linear IgA Bullous Dermatosis;""Diabetes Mellitus, Type 3"";""Diabetes Mellitus, Type 1"";""Fractures, Stress"";Autonomic Nervous System Diseases;""Deafness, Conductive, with Malformed External Ear"";Varicose Veins;""Diabetes Mellitus, Type 5"";Diabetic Retinopathy;Pneumoconiosis;Sarcoidosis;Accessory pancreas;Hyperlipidemias;Hematuria;Lymphadenitis;Retinoschisis;Graves Disease;Bacteremia;Atrophic Vaginitis;Essential Tremor;"
KIF16B	"Salivary Gland Diseases;""Child Development Disorders, Pervasive"";""Prostate cancer, familial"";Enteritis;Retinal Diseases;Myelodysplastic-Myeloproliferative Diseases;"
ANO3	"Genital Diseases, Male;""Foot Deformities, Acquired"";Skin Neoplasms;Cystitis;""Gastritis, Atrophic"";Schizophrenia;"
ADAMTS17	Bundle-Branch Block;Esophagitis;Spinal Stenosis;
CAPN5	"Erythema;""Depression, Postpartum"";Constipation;Warts;Mood Disorders;"
GPC5	"Otosclerosis;Chronic Disease;""Amino Acid Transport Disorders, Inborn"";Colonic Neoplasms;Peripheral Vascular Diseases;Ovarian Cysts;Lung Neoplasms;Hallucinations;Pleurisy;Sexual and Gender Disorders;Contracture;Intracranial Hemorrhages;Hyperthyroidism;Uveitis;Peripheral Arterial Disease;Glossitis;Salivary Gland Diseases;Endocrine Gland Neoplasms;Bundle-Branch Block;Cardiomegaly;"
ADIPOQ	"Contracture;Cellulitis;""Goiter, Multinodular "";""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";""Influenza, Human"";""Gastritis, Atrophic"";"
IL33	"Endometriosis;""Pneumonia, Pneumococcal"";Chronic Disease;Herpes Zoster;Asthma;Exophthalmos;Corneal dystrophy and perceptive deafness;""Corneal Dystrophy, Fuchs Endothelial, 3"";"
MYRIP	Sarcoidosis;Heartburn;Cystic Kidney Disease;Granulosa cell tumor of the ovary;
DIRC3	"Diplopia;Uterine Cervical Neoplasms;Multiple Sclerosis;""Renal Failure, Progressive, with Hypertension"";Hallux Valgus;"
ZNF804B	Hypovolemia;Dysmenorrhea;Alzheimer Disease;Chronic Disease;
RIN3	Cholesteatoma;
IFI16	Conjunctival Diseases;
NCR3	"Celiac Disease;Varicose Veins;""Diabetes Mellitus, Type 6"";Prostatitis;Linear IgA Bullous Dermatosis;Heart Septal Defects;Autonomic Nervous System Diseases;Colonic Neoplasms;Retinoschisis;"
RNASET2	"Gastroparesis;Alopecia Areata;""Genital Neoplasms, Female"";Hereditary Breast and Ovarian Cancer Syndrome;"
BAIAP2L1	Muscular Dystrophies;Contracture;Odontoma dysphagia syndrome;Kidney Diseases;Chronic Disease;Endocrine Gland Neoplasms;
MPDU1	"Pharyngitis;Hypercalcemia;Multiple Myeloma;Cellulitis;""Genital Diseases, Male"";Pruritus;"
ADARB1	Contracture;Hydronephrosis;
POLR1D	"Respiratory System Abnormalities;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";"
PABPC4	"Diabetic Retinopathy;Diabetes mellitus;""Diabetes Mellitus, Type 2"";""Diabetes Mellitus, Type 7"";""Diabetes Mellitus, Type 3"";Paranoid Disorders;Hypoglycemia;Osteoporosis;Heart Septal Defects;""Muscular Dystrophy, Pseudohypertrophic, With Internalized Capillaries"";"
IGF2R	"Gout;Polycythemia Vera;""Alveolitis, Extrinsic Allergic"";Hallucinations;Enteritis;Herpes Zoster;Cardiomegaly;Iatrogenic Disease;"
CCDC26	"Tongue Diseases;Basal Ganglia Cerebrovascular Disease;Speech Disorders;Cholecystitis;Gastroenteritis;Intracranial Hemorrhages;Pleurisy;Tinnitus;Chronic Disease;Sinusitis;Colonic Neoplasms;Spondylosis;Seborrhea-Like Dermatitis with Psoriasiform Elements;""Diabetes Mellitus, Type 5"";Corneal Edema;Behcet Syndrome;Odontoma dysphagia syndrome;"
SLC22A12	"Gout;Eye Neoplasms;Peptic Ulcer;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Familial Acute Myeloid Leukemia with Mutated Cebpa;Aphasia;"
C19orf62	"Goiter, Multinodular ;""Genital Neoplasms, Female"";Testicular Hydrocele;Hereditary Breast and Ovarian Cancer Syndrome;Otosclerosis;"
C15orf32	"Sleep disorders;Rheumatic Fever;Restless Legs Syndrome;Spinal Cord Diseases;Sacroiliitis;Renal Colic;""Child Development Disorders, Pervasive"";Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Periodontitis;Bipolar Disorder;"
CADPS2	"Child Development Disorders, Pervasive;Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;Odontoma dysphagia syndrome;Lung Neoplasms;"
IGF2	"Menopause, Premature;Absent breasts and nipples;Delirium;Cystitis;Barrett Esophagus;"
SERPINH1	"Myopia;Pneumonia;Varicose Veins;Orbital Cellulitis;Seborrhea-Like Dermatitis with Psoriasiform Elements;""Hyperparathyroidism, Secondary"";Gangrene;""Sleep Apnea, Central"";Hypertension;Sepsis;"
PRNP	"Leg Length Inequality;Neoplastic Processes;Carbuncle;Polymyalgia Rheumatica;Otitis Media;""Aplastic anemia, idiopathic"";Ovarian Cysts;""Adrenocortical Hypofunction, Chronic Primary Congenital"";Conjunctival Diseases;"
MEIS2	Glucose Intolerance;Kidney Neoplasms;Nail Diseases;
MEIS1	Uterine Neoplasms;Essential Tremor;Syncope;Chronic Disease;Celiac Disease;Pericarditis;Osteoporosis;Glycosuria;Nail Diseases;
TACC3	"Breast Diseases;""Glaucoma 1, Open Angle, A"";Somatoform Disorders;Leg Length Inequality;Constipation;Polycystic Ovarian Disease due to 17-Ketosteroid Reductase Deficiency;Ovarian Diseases;Rheumatic Fever;Pityriasis;""Intestinal polyposis, osteomas, sebaceous cysts"";Hyperhidrosis;"
C3orf1	"Chronic Disease;Digestive System Diseases;Kidney Diseases;Pediatric ulcerative colitis;Complex Regional Pain Syndromes;Tuberculosis;""Diabetes Mellitus, Type 3"";"
RPL21	Gastrointestinal Diseases;Psoriasis;Retinoschisis;Periapical Abscess;Hemorrhagic Disorders;
ME2	"Sleep Apnea Syndromes;Shock;""Lupus Erythematosus, Discoid"";Accessory pancreas;""Sleep Apnea, Central"";Chronic Disease;Sleep disorders;Hallucinations;""Lupus Erythematosus, Systemic"";"
BTNL2	"Celiac Disease;""Lupus Erythematosus, Discoid"";Retinoschisis;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";""Rheumatoid Arthritis, Systemic Juvenile"";""Diabetes Mellitus, Type 2"";Spinal Cord Diseases;Atherosclerosis;Hypoglycemia;""Lupus Erythematosus, Systemic"";""Diabetes Mellitus, Type 4"";""Diabetes Mellitus, Type 3"";""Diabetes Mellitus, Type 1"";Atrophic Vaginitis;Pneumoconiosis;Eosinophilia;Familial Acute Myeloid Leukemia with Mutated Cebpa;Polyarteritis Nodosa;Pneumonia;Chronic Disease;Thyrotoxicosis;Varicose Veins;Restless Legs Syndrome;Graves Disease;Shock;Rosacea;Urethritis;Pericarditis;Gastrointestinal Diseases;Meniere Disease;Hydronephrosis;Intracranial Hemorrhages;""Spondylitis, Ankylosing"";Respiratory System Abnormalities;Keratitis;Prostatitis;""Deafness, Conductive, with Malformed External Ear"";Sleep disorders;"
C6orf15	"Psoriasis;Stomach Neoplasms;""Lower Extremity Deformities, Congenital"";Periodontitis;Proteinuria;Dislocations;Multiple Myeloma;Esophageal Neoplasms;Hypothyroidism;Paget Disease Of Bone 4;"
CSNK1G3	Melanoma;Hydronephrosis;Cholelithiasis;
CYP1A1	"Chronic Disease;Skin Neoplasms;Appendicitis;Pharyngitis;""Pancreatic cancer, adult"";Osteitis Deformans;Purpura;Appendiceal Neoplasms;""Genital Diseases, Male"";Conduct Disorder;""Cardiac Arrhythmia, Ankyrin-B-Related"";Atrial Flutter;Ankylosis;Kidney Diseases;""Renal Failure, Progressive, with Hypertension"";Cholesteatoma;Atrial Fibrillation;Sinusitis;"
CCND3	"Psoriasis;""Renal Failure, Progressive, with Hypertension"";Urethral Stricture;Out-of-Hospital Cardiac Arrest;Esophagitis;Sleep disorders;Ventricular Flutter;Prurigo;""Amino Acid Transport Disorders, Inborn"";""Rheumatoid Arthritis, Systemic Juvenile"";"
CCND2	Urinary Bladder Neck Obstruction;Scoliosis;Speech Disorders;Heart Failure;Respiratory Tract Neoplasms;Cellulitis;Appendiceal Neoplasms;Respiratory Insufficiency;Alcohol-Related Disorders;Autonomic Nervous System Diseases;
LOC100652824	Jaw Diseases;
C9orf72	"Atrophic Vaginitis;Atrial flutter;Dysmenorrhea;""Abnormalities, Radiation-Induced"";Faciogenital Dysplasia with Attention Deficit-Hyperactivity Disorder;""Rheumatoid Arthritis, Systemic Juvenile"";Chronic Disease;"
CEBPE	"Migraine with Aura;Hemorrhagic Disorders;""Spondylitis, Ankylosing"";"
SH2D6	Chronic Disease;Liver Diseases;Eye Neoplasms;
PLG	Myopia;Incisional Hernia;Behcet Syndrome;Anxiety Disorders;
DENND2A	"Nervous System Diseases;Major Depressive Disorder;Impetigo;Cholangitis;Otitis Externa;""Mastocytosis, cutaneous, with short stature, conductive hearing loss and microtia"";Phosphorus Metabolism Disorders;Alkalosis;"
EDC4	"Psoriasis;Duodenal Ulcer;Hyperhidrosis;Sweat Gland Diseases;""Gastritis, Atrophic"";Heart Valve Diseases;""Lupus Erythematosus, Systemic"";Feeding and Eating Disorders;"
LRP5	"Glycosuria;""Carbohydrate Metabolism, Inborn Errors"";Skin Neoplasms;""Diabetes Mellitus, Type 6"";"
TPCN2	"Feeding and Eating Disorders;Breast Neoplasms;Otitis Media;""Pyogenic arthritis, pyoderma gangrenosum, and acne"";Mycoses;"
PML	Eye Neoplasms;Eosinophilia;Mental Disorders;Arthralgia;
PRB2	Endometrial Hyperplasia;Adrenal Gland Diseases;
ARHGAP24	Menstruation Disturbances;Gastroparesis;Chronic Disease;Brain Concussion;Ovarian Cysts;
FLG	Fasciitis;Cellulitis;
RYR2	"Major Depressive Disorder;Essential Tremor;Torsion dystonia with onset in infancy;Movement Disorders;Hearing Loss;""Gait Disorders, Neurologic"";Diverticulitis;Intervertebral Disc Degeneration;""Menopause, Premature"";Skin Neoplasms;Migraine Disorders;Esophageal Atresia;Hemoptysis;Retinal Drusen;Temporomandibular Joint Disorders;Uterine Cervical Diseases;Tobacco Use Disorder;""Aplastic anemia, idiopathic"";Muscular Dystrophies;Retinoschisis;""Goiter, Multinodular "";Behcet Syndrome;""Keratosis, Seborrheic"";Sunburn;"
ARL6	Mental Disorders;Chronic Disease;Endocrine Gland Neoplasms;Iron-Refractory Iron Deficiency Anemia;Pneumoconiosis;Vitamin D Deficiency;Sacroiliitis;Hematuria;Tympanic Membrane Perforation;
PALM2-AKAP2	Chronic Disease;Back Pain;Raynaud Disease;
NXPH1	"Hypertrophy;""Diabetes Mellitus, Type 4"";Dysuria;Cystitis;"
NXPH2	"Arthropathy, Neurogenic;Mycoses;Memory Disorders;Gastroparesis;Familial Acute Myeloid Leukemia with Mutated Cebpa;Mild Cognitive Impairment;Pelvic Inflammatory Disease;Testicular Diseases;Insect Bites and Stings;Hallux Rigidus;""Insomnia, Fatal Familial"";Astigmatism;Heart Diseases;Skin Neoplasms;""Keratosis, Seborrheic"";Spermatocele;Scleritis;Atrial flutter;Alopecia;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";"
TMEM196	"Hemorrhagic Septicemia;Tauopathy and Respiratory Failure;""Diabetes Mellitus, Type 4"";Bacteremia;Heart Failure;"
LOC643308	"Bundle-Branch Block;Brain Neoplasms;Somatoform Disorders;""Genital Neoplasms, Male"";Glaucoma;Movement Disorders;Angina Pectoris;"
JAG1	"Sebaceous Gland Diseases;""Intestinal polyposis, osteomas, sebaceous cysts"";Proteinuria;Warts;Odontoma dysphagia syndrome;"
FDFT1	"Lipoma;""Carcinoma, Renal Cell"";Cerebrospinal Fluid Otorrhea;Kidney Neoplasms;"
NEIL3	"Orbital Cellulitis;Liver Diseases;Testicular Hydrocele;Cachexia;""Neoplasms, Connective Tissue"";""Liver Diseases, Alcoholic"";"
SETD7	"Accessory pancreas;Peripheral Arterial Disease;Peripheral Vascular Diseases;""Diabetes Mellitus, Type 3"";""Sleep Apnea, Central"";Endocarditis;"
DCAF12	"Alveolitis, Extrinsic Allergic;Vitamin D Deficiency;Polycystic Ovarian Disease due to 17-Ketosteroid Reductase Deficiency;Urticaria;Barrett Esophagus;Retinal Diseases;"
C1orf125	Spondylosis;Back Pain;Intervertebral disc disease;Myocardial Infarction;Intervertebral Disc Degeneration;Renal Osteodystrophy;
BRAP	"Hypothyroidism;Ventricular Flutter;Retinoschisis;""Atherosclerosis, Premature, with Deafness, Nephropathy, Diabetes Mellitus, Photomyoclonus, and Degenerative Neurologic Disease"";Endometriosis;Atherosclerosis;Corneal Edema;Mastodynia;Astigmatism;Peripheral Arterial Disease;Myocardial Infarction;"
DUPD1	"Schizophrenia;Digestive System Diseases;Chronic Disease;Irritable Bowel Syndrome;""Diabetes Mellitus, Type 1"";"
YDJC	"Chronic Disease;Subarachnoid Hemorrhage;""Acromegaloid features, overgrowth, cleft palate, and hernia"";"
CSF2RB	"Optic Neuritis;Optic Nerve Diseases;Schizophrenia;Presenile And Senile Dementia;""Arthrogryposis multiplex with deafness, inguinal hernias, and early death"";Glycosuria;Somatoform Disorders;""Vitamin K-Dependent Clotting Factors, Combined Deficiency Of, 1"";""Cardiac Arrhythmia, Ankyrin-B-Related"";Anorexia;"
ANKLE1	"Alcohol-Related Disorders;""Glaucoma, Primary Open Angle"";Endometriosis;Alcoholism;Pancreatitis;Paget Disease Of Bone 4;Hematuria;Aortic Aneurysm;""Glaucoma 1, Open Angle, A"";""Prader-Willi habitus, osteopenia, and camptodactyly"";"
UGT1A1	"Hyperbilirubinemia;Jaundice;Rhabdomyolysis;""Arthrogryposis multiplex with deafness, inguinal hernias, and early death"";Urticaria;Intervertebral disc disease;Sweat Gland Diseases;Iron-Refractory Iron Deficiency Anemia;Tauopathy and Respiratory Failure;"
DSC3	"Esophagitis;Sleep disorders;Granulosa cell tumor of the ovary;Pneumonia;""Acromegaloid features, overgrowth, cleft palate, and hernia"";Myopia;Cardiomyopathies;Urinary Retention;""Renal Failure, Progressive, with Hypertension"";""Pneumonia, Viral"";""Cardiomyopathy, Dilated"";"
SSBP2	Esophageal Atresia;Neutropenia;
LYRM4	"Heartburn;""Menopause, Premature"";""Acne, Adult"";"
CENPC1	"Cellulitis;Aortic Aneurysm;Alopecia Areata;Gastrointestinal Diseases;Dry Eye Syndromes;Melanoma;""Genital Neoplasms, Female"";Mastodynia;"
NRGN	"Heart Failure, Systolic;Myocardial Infarction;Hypertension;Urinary Retention;Heart Diseases;Heart Failure;Alzheimer Disease;""Insomnia, Fatal Familial"";"
EFEMP1	"Arthrogryposis multiplex with deafness, inguinal hernias, and early death;Hematemesis;Chronic Disease;Digestive System Diseases;""Acromegaloid features, overgrowth, cleft palate, and hernia"";Multiple Sclerosis;Digestive System Neoplasms;Stomach Neoplasms;Liver Diseases;Adjustment Disorders;Periapical Diseases;""Renal Failure, Progressive, with Hypertension"";Leg Length Inequality;Barrett Esophagus;Psoriasis;"
CYP2C18	Colonic Neoplasms;Bursitis;Mental Disorders;Hereditary Breast and Ovarian Cancer Syndrome;
ZNF259	Hyperlipidemias;Hypercholesterolemia;Anxiety Disorders;Sexual and Gender Disorders;Delirium;Retinal Detachment;Tinnitus;Obsessive-Compulsive Disorder;
NYNRIN	Anisometropia;Exophthalmos;
ZNF229	"Cachexia;Cholangitis;Otitis Media;""Fractures, Stress"";Parkinson Disease;"
TNIK	Muscle Weakness;Peptic Ulcer;Pulmonary Embolism;Otitis Externa;Endocarditis;
OCM2	"Spondylolisthesis;""Prostate cancer, familial"";""Tooth Eruption, Ectopic"";"
ATRNL1	Thrombocytopenia;Chronic Disease;
FANCA	Candidiasis;Hepatitis C;Blindness;
ELMOD1	Hypotension;
C2CD4A	Lung Neoplasms;Testicular Diseases;Epilepsy;
NFKBIZ	"Diabetes Mellitus, Type 6;Iron-Refractory Iron Deficiency Anemia;Hematuria;Pneumothorax;Gastrointestinal Diseases;Breast Diseases;"
C14orf181	"Bone Neoplasms;Heart Failure;""Corneal Degeneration, Ribbonlike, with Deafness"";Hallux Rigidus;Renal Osteodystrophy;Cellulitis;Atrial Flutter;Pulmonary Fibrosis;""Alveolitis, Extrinsic Allergic"";Atrial Fibrillation;Hodgkin Disease;Stomach Diseases;"
ATP2B1	"Postoperative Nausea and Vomiting;Gynecomastia;Asthma;Sweat Gland Diseases;Choroid Diseases;Myocardial Infarction;Retinal Hemorrhage;Ascites;""Pulmonary Hypertension, Primary, Autosomal Recessive"";Hallux Valgus;Complex Regional Pain Syndromes;Giant Cell Arteritis;Myoclonus;Pneumoconiosis;"
SPEF2	"Pancreatic cancer, adult;Fever of Unknown Origin;""Deafness, Conductive, with Malformed External Ear"";Dysmenorrhea;"
ADH7	"Atrophic Vaginitis;Graves Disease;""Diabetes Mellitus, Type 2"";Thyrotoxicosis;Diabetes mellitus;Pharyngitis;"
EPS15	Contracture;Hirsutism;Periapical Abscess;Sunburn;Pediatric ulcerative colitis;Sarcoidosis;Hydronephrosis;Melanoma;Periapical Diseases;
NELL1	Pancreatitis;Myopia;Accessory pancreas;Strabismus;
CDKL1	Hyperventilation;Menstruation Disturbances;Chronic Disease;Sleep Apnea Syndromes;
GTF2E2	"Heart Failure, Systolic;""Diabetes Mellitus, Type 1"";Heart Failure;Multiple Myeloma;Cholangitis;Delirium;Pneumonia;Leukemia;Alzheimer Disease;Cystitis;"
PHACTR1	"Myocardial Infarction;Chronic Disease;Airway Obstruction;Cholesteatoma;""Pancreatic cancer, adult"";Anorexia;Autonomic Nervous System Diseases;Uveitis;Hyponatremia;Varicose Veins;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";"
EFHD1	"Corneal Dystrophy, Fuchs Endothelial, 3;Pericarditis;Herpes Zoster;""Diabetes Mellitus, Type 3"";Failure to Thrive;Sclerosis;Melanoma;Epistaxis;"
PRPH	"Myoclonus;Gastroparesis;""Prostate cancer, familial"";Movement Disorders;Anxiety Disorders;Uterine Neoplasms;Nail Diseases;"
TAB1	"Mastoiditis;Diabetic Retinopathy;""Diabetes Mellitus, Type 7"";Neck Pain;Migraine with Aura;Skin Neoplasms;Strabismus;Pancytopenia;""Diabetes Mellitus, Type 6"";""Aplastic anemia, idiopathic"";Memory Disorders;Goiter;Dislocations;Otitis Media;Jaundice;Hyperparathyroidism;Hepatitis C;Bundle-Branch Block;Chronic Disease;Cerebrospinal Fluid Otorrhea;Diplopia;"
AK3	Chronic Disease;Myopia;Uterine Cervical Neoplasms;Stillbirth;Hirsutism;Genu Varum;Cervical Intraepithelial Neoplasia;Herpes Zoster;Astigmatism;
TMEM57	"Esophageal Neoplasms;Breast Neoplasms;Hallucinations;""Prostate cancer, familial"";Delirium;Chronic Disease;Periodontitis;"
USP25	"Foot Deformities, Acquired;Hammer Toe Syndrome;Hallux Valgus;Uterine Cervical Diseases;"
STARD3NL	"Aphakia;Thyroiditis;Amblyopia;Dry Eye Syndromes;Jaundice;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Facial Nerve Diseases;Strabismus;Disorders of other cranial nerves;Cavernous Malformations of CNS and Retina;Intracranial Hemorrhages;"
NAB1	"Urinary Bladder Neoplasms;""Liver Diseases, Alcoholic"";Hydronephrosis;Eye Neoplasms;Pericarditis;Proteinuria;Brain Concussion;"
LMTK2	"Diabetes Mellitus, Type 6;Cholecystitis;Vitamin B Deficiency;Macular Degeneration;"
TIPARP	Iron-Refractory Iron Deficiency Anemia;Bundle-Branch Block;
SMOC2	"Syncope;Chronic Disease;Adrenal Gland Diseases;Sleep Apnea Syndromes;""Lupus Erythematosus, Discoid"";Glossitis;""Lupus Erythematosus, Systemic"";"
CNNM2	"Pericarditis;Cholelithiasis;""Aplastic anemia, idiopathic"";Strabismus;"
GAB1	"Cerebrovascular Disorders;Otitis Media;Glucose Intolerance;""Intestinal polyposis, osteomas, sebaceous cysts"";"
SPATA7	"Idiopathic orthostatic hypotension;Leg Length Inequality;""Spondylitis, Ankylosing"";Sarcoidosis;Hidradenitis;Hypotension;""Muscular Dystrophy, Pseudohypertrophic, With Internalized Capillaries"";Heart Failure;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Corneal dystrophy and perceptive deafness;Kyphosis;"
SCFD2	Periostitis;Liver Abscess;Jaundice;Meniere Disease;Pancytopenia;
L3MBTL3	"Acromegaloid features, overgrowth, cleft palate, and hernia;Gastrointestinal Hemorrhage;""Phobia, Specific"";"
FAM110C	"Iatrogenic Disease;""Prader-Willi habitus, osteopenia, and camptodactyly"";Multiple Sclerosis;"
SVIL	"Sexual and Gender Disorders;""Parathyroid Glands, Agenesis Of"";Skin Neoplasms;Hyperparathyroidism;"
CSMD1	"Celiac Disease;Leg Length Inequality;Keratoconjunctivitis Sicca;Osteomyelitis;Pelvic Inflammatory Disease;Dysuria;Mink Viral Enteritis;Presenile And Senile Dementia;Contracture;Pericarditis;""Laryngeal Atresia, Encephalocele, and Limb Deformities"";Hemiplegia;""Amino Acid Transport Disorders, Inborn"";""Hypertension, Pregnancy-Induced"";Duodenitis;Cardiomegaly;Heartburn;""Lupus Erythematosus, Discoid"";Bronchitis;Hyperlipidemias;"
NCKAP5	"Cavernous Malformations of CNS and Retina;Iatrogenic Disease;Bronchitis;""Hepatitis, Viral, Human"";Migraine Disorders;Irritable Bowel Syndrome;Optic Neuritis;Skin Neoplasms;Digestive System Neoplasms;Renal Colic;"
TGM5	"Delirium;""Cholestasis with Gallstone, Ataxia, and Visual Disturbance"";Upper Extremity Deep Vein Thrombosis;Renal Osteodystrophy;Hallucinations;Anxiety Disorders;Schizophrenia;Constipation;""Tachycardia, Sinoatrial Nodal Reentry"";"
DNAI2	"Subarachnoid Hemorrhage;""Arthrogryposis multiplex with deafness, inguinal hernias, and early death"";""Menopause, Premature"";Hypertensive Retinopathy;Nasal Polyps;Myasthenia Gravis;"
NRSN1	Gout;Dental Caries;Osteoporosis;Conduct Disorder;Intracranial Hemorrhages;Spondylosis;Herpes Simplex;
PXK	Choroid Diseases;Keratoconjunctivitis Sicca;Bacteremia;Fever of Unknown Origin;Neutropenia;Subarachnoid Hemorrhage;Dyspepsia;
FER1L4	Intervertebral Disc Displacement;Thrombocytopenia;Nasal Polyps;
LRIG1	Blister;Dermatomycoses;Nervous System Diseases;Vitamin B Deficiency;Adenocarcinoma in Situ;Bronchiectasis;
OVOL1	"Tooth Eruption, Ectopic;Hypothyroidism;Cerebrovascular Disorders;"
BEST1	Diverticulitis;
DENND1A	"Testicular Diseases;Chondrocalcinosis;Alkalosis;Glucose Intolerance;""Tooth Eruption, Ectopic"";Atrial flutter;Heartburn;Respiratory System Abnormalities;Dislocations;Pelvic Inflammatory Disease;Scoliosis;"
EIF3H	"Digestive System Neoplasms;Chronic Disease;Tauopathy and Respiratory Failure;""Spondylitis, Ankylosing"";"
PPP1R3B	"Pediatric ulcerative colitis;Myelodysplastic-Myeloproliferative Diseases;Erythema;Postoperative Nausea and Vomiting;Kidney Neoplasms;""Carcinoma, Renal Cell"";Labyrinthitis;"
ZP4	Pericarditis;Autonomic Nervous System Diseases;Barrett Esophagus;Heart Valve Diseases;Herpes Zoster;
TNFRSF11B	"Osteoporosis;Sciatica;Hyperbilirubinemia;""Foot Deformities, Acquired"";Keratitis;Insect Bites and Stings;Bone Neoplasms;Restless Legs Syndrome;""Arthrogryposis multiplex with deafness, inguinal hernias, and early death"";Pericarditis;Myoclonus;Cellulitis;Spondylosis;"
TNFRSF11A	"Gestational Diabetes Insipidus;Pharyngitis;""Renal Failure, Progressive, with Hypertension"";""Carbohydrate Metabolism, Inborn Errors"";Hypercalcemia;""Arthropathy, Neurogenic"";Chronic Disease;Carbuncle;"
CYP4F2	"Menstruation Disturbances;""Acromegaloid features, overgrowth, cleft palate, and hernia"";Hyponatremia;Digestive System Neoplasms;Raynaud Disease;Eye Neoplasms;"
C11orf73	"Urticaria;Strabismus;""Lower Extremity Deformities, Congenital"";Breast Neoplasms;"
MGC87042	Stomach Neoplasms;Vitamin B 12 Deficiency;Pulmonary Fibrosis;Hypoglycemia;Asthma;Psoriasis;
SYT17	Glossitis;Hypoglycemia;Cerebrospinal Fluid Otorrhea;
SAE1	"Prostate cancer, familial;Endocrine Gland Neoplasms;Uterine Prolapse;Sleep Apnea Syndromes;Hypoglycemia;Delirium;Nasal Polyps;"
MYP11	"Hypercholesterolemia;Mink Viral Enteritis;Alopecia Areata;Abdominal pain;Hyperlipidemias;Cellulitis;Skin Neoplasms;""Lupus Erythematosus, Discoid"";""Lupus Erythematosus, Systemic"";Myocardial Infarction;"
INTS10	"Melanoma;""Fractures, Stress"";Skin Neoplasms;"
EML6	"Colonic Neoplasms;""Child Development Disorders, Pervasive"";Hemorrhagic Disorders;Pancytopenia;Skin Neoplasms;"
ZBTB40	"Nervous System Diseases;""Keratosis, Seborrheic"";Breast Diseases;""Hyperparathyroidism, Secondary"";Delirium;Duodenitis;Skin Neoplasms;Brain Neoplasms;Urinary Bladder Neck Obstruction;Hemoptysis;Alcoholism;Kidney Diseases;Syncope;Jaundice;"
GNA12	Chronic Disease;Goiter;Celiac Disease;Angina Pectoris;Colonic Neoplasms;Periodontitis;Urinary Bladder Neck Obstruction;Astigmatism;Tobacco Use Disorder;
GNA15	Colles' Fracture;Corneal dystrophy and perceptive deafness;Pityriasis;Periapical Abscess;Labyrinthitis;Periapical Diseases;
CD163	"Gastrointestinal Diseases;Hematuria;Otosclerosis;""Keratosis, Actinic"";Otitis Media;"
DAPK1	Thyroid cancer;Hypothyroidism;Thyroiditis;Brain Concussion;Myopia;Uterine Prolapse;
OR5H2	"Diabetes mellitus;""Diabetes Mellitus, Type 2"";Digestive System Neoplasms;"
BUD13	"Hallucinations;""Arthropathy, Neurogenic"";Polycystic Ovarian Disease due to 17-Ketosteroid Reductase Deficiency;Pediatric ulcerative colitis;Hyperlipidemias;Sexual and Gender Disorders;Inflammatory Bowel Disease;Vitamin B Deficiency;Sarcoidosis;""Diabetes Mellitus, Type 4"";Mental Disorders;Retinal Detachment;Chronic Disease;Ovarian Diseases;Leukemia;Hematuria;""Hernia, Femoral"";Glycosuria;"
TGFBRAP1	Chronic Disease;Asthma;Anxiety Disorders;Gastroenteritis;
